(-7, 13)
(15, 13)
(-15, 13)
(5, 6)
(-5, 6)
(13, 6)
(5, -6)
(-5, -6)
(13, -6)
(-13, 6)
(-13, -6)
(8, 12)
(-8, 12)
(16, 12)
(0, 12)
(8, -12)
(-8, -12)
(0, -12)
(6, 5)
(-6, 5)
(6, -5)
(14, 5)
(-6, -5)
(14, -5)
(-14, 5)
(-14, -5)
(9, 11)
(1, 11)
(-1, 11)
(-9, 11)
(17, 11)
(1, -11)
(-1, -11)
(9, -11)
(-9, -11)
(7, 4)
(-7, 4)
(7, -4)
(-7, -4)
(15, 4)
(15, -4)
(-15, 4)
(-15, -4)
(2, 10)
(10, 10)
(-2, 10)
(-10, 10)
(18, 10)
(-2, -10)
(2, -10)
(10, -10)
(-10, -10)
(18, -10)
(0, 3)
(8, 3)
(0, -3)
(-8, 3)
(8, -3)
(-8, -3)
(16, 3)
(16, -3)
(3, 9)
(11, 9)
(-3, 9)
(-11, 9)
(-3, -9)
(3, -9)
(11, -9)
(19, 9)
(-11, -9)
(19, -9)
(1, 2)
(-1, 2)
(9, 2)
(1, -2)
(-1, -2)
(9, -2)
(-9, 2)
(-9, -2)
(17, 2)
(17, -2)
(4, 8)
(-4, 8)
(12, 8)
(-4, -8)
(4, -8)
(-12, 8)
(12, -8)
(-12, -8)
(20, 8)
(20, -8)
(2, 1)
(-2, 1)
(2, -1)
(10, 1)
(-2, -1)
(10, -1)
(-10, 1)
(-10, -1)
(18, 1)
(18, -1)
(7, 14)
(-7, 14)
(15, 14)
(-15, 14)
(5, 7)
(-5, 7)
(13, 7)
(5, -7)
(-5, -7)
(13, -7)
(-13, 7)
(-13, -7)
(3, 0)
(-3, 0)
(11, 0)
(-11, 0)
(19, 0)
(8, 13)
(-8, 13)
(16, 13)
(0, 13)
(6, 6)
(-6, 6)
(14, 6)
(6, -6)
(-6, -6)
(14, -6)
(-14, 6)
(-14, -6)
(9, 12)
(1, 12)
(-1, 12)
(-9, 12)
(17, 12)
(1, -12)
(-1, -12)
(9, -12)
(-9, -12)
(7, 5)
(-7, 5)
(7, -5)
(15, 5)
(-7, -5)
(15, -5)
(-15, 5)
(-15, -5)
(10, 11)
(2, 11)
(-2, 11)
(-10, 11)
(18, 11)
(-2, -11)
(2, -11)
(10, -11)
(-10, -11)
(0, 4)
(8, 4)
(0, -4)
(-8, 4)
(8, -4)
(-8, -4)
(16, 4)
(16, -4)
(3, 10)
(11, 10)
(-3, 10)
(-11, 10)
(-3, -10)
(3, -10)
(11, -10)
(19, 10)
(-11, -10)
(19, -10)
(1, 3)
(-1, 3)
(9, 3)
(1, -3)
(-1, -3)
(9, -3)
(-9, 3)
(-9, -3)
(17, 3)
(17, -3)
(4, 9)
(-4, 9)
(12, 9)
(-4, -9)
(-12, 9)
(4, -9)
(12, -9)
(-12, -9)
(20, 9)
(20, -9)
(2, 2)
(-2, 2)
(10, 2)
(2, -2)
(-2, -2)
(10, -2)
(-10, 2)
(-10, -2)
(18, 2)
(18, -2)
(5, 8)
(-5, 8)
(13, 8)
(5, -8)
(-5, -8)
(-13, 8)
(13, -8)
(-13, -8)
(3, 1)
(-3, 1)
(3, -1)
(-3, -1)
(11, 1)
(11, -1)
(-11, 1)
(-11, -1)
(19, 1)
(19, -1)
(8, 14)
(-8, 14)
(16, 14)
(0, 14)
(6, -7)
(-6, -7)
(6, 7)
(-6, 7)
(14, 7)
(14, -7)
(-14, 7)
(-14, -7)
(-4, 0)
(12, 0)
(4, 0)
(-12, 0)
(20, 0)
(1, 13)
(9, 13)
(-1, 13)
(-9, 13)
(17, 13)
(7, 6)
(-7, 6)
(7, -6)
(15, 6)
(-7, -6)
(15, -6)
(-15, 6)
(-15, -6)
(2, 12)
(10, 12)
(-2, 12)
(-10, 12)
(18, 12)
(2, -12)
(-2, -12)
(10, -12)
(-10, -12)
(8, 5)
(0, 5)
(-8, 5)
